Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-09-23,2025-09-23,4430,CASH AUTO REDEMPTION,Payment/Credit,,25.00
2025-09-23,2025-09-23,4430,CASH AUTO REDEMPTION,Payment/Credit,,25.00
2025-09-22,2025-09-23,4430,LAZ PARKING L47180-SKI,Gas/Automotive,9.00,
2025-09-22,2025-09-23,4430,200047-Meow Wolf-GMP-Park,Gas/Automotive,15.95,
2025-09-21,2025-09-22,4416,MEOW WOLF,Entertainment,123.00,
2025-09-21,2025-09-22,4430,ORCHARDS ACE HDWE,Merchandise,5.34,
2025-09-21,2025-09-22,4430,ORCHARDS ACE HDWE,Merchandise,32.00,
2025-09-21,2025-09-22,4430,"GITHUB, INC.",Internet,39.00,
2025-09-21,2025-09-22,4430,"GITHUB, INC.",Internet,16.01,
2025-09-21,2025-09-22,4430,TST* LOVELAND TAP & TAVER,Dining,150.64,
2025-09-20,2025-09-22,4430,ASSOCIATED VETERANS,Dining,75.75,
2025-09-20,2025-09-22,4430,Ingram MIcro RBTS,Merchandise,1251.72,
2025-09-20,2025-09-22,4430,Ingram MIcro RBTS,Merchandise,4.36,
2025-09-20,2025-09-22,4430,XAI LLC,Merchandise,30.00,
2025-09-20,2025-09-22,4430,CLAUDE.AI SUBSCRIPTION,Merchandise,200.00,
2025-09-20,2025-09-22,4430,OPENAI *CHATGPT SUBSCR,Merchandise,20.00,
2025-09-19,2025-09-22,4430,TST*MCGRAFFS,Dining,169.71,
2025-09-19,2025-09-22,4430,0962-LB MARCHE,Dining,142.79,
2025-09-20,2025-09-22,4430,BUC-EE'S #60,Merchandise,38.56,
2025-09-18,2025-09-19,0659,OPENAI *CHATGPT SUBSCR,Merchandise,20.00,
2025-09-18,2025-09-19,4430,Spectrum,Phone/Cable,111.25,
2025-09-16,2025-09-18,4416,TST*FLECHA - HUNTINGTON,Dining,37.79,
2025-09-16,2025-09-18,4430,MEADOWLARK GOLF CLUB,Entertainment,25.00,
2025-09-16,2025-09-17,4430,Ingram MIcro RBTS,Merchandise,15.27,
2025-09-15,2025-09-15,4430,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,53.96,
2025-09-14,2025-09-15,4430,PAYPAL *NAMECHEAP,Internet,17.02,
2025-09-13,2025-09-15,4430,TURC'S,Dining,96.50,
2025-09-13,2025-09-15,4430,UBER   *TRIP,Other Travel,20.97,
2025-09-13,2025-09-15,4430,TST*PELICAN ISLE,Dining,151.56,
2025-09-12,2025-09-13,4430,PAYPAL *GOFUNDME HELP JAM,Other Services,10.20,
2025-09-11,2025-09-13,4430,MARLIN BAR & GRILL,Dining,13.00,
2025-09-12,2025-09-12,4430,CASH AUTO REDEMPTION,Payment/Credit,,25.00
2025-09-11,2025-09-12,4430,Ingram MIcro RBTS,Merchandise,4.07,
2025-09-10,2025-09-11,4430,AMAZON MKTPL*EX03E7KM3,Merchandise,295.91,
2025-09-10,2025-09-10,4430,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1000.00
2025-09-10,2025-09-10,4430,CAPITAL ONE ONLINE PYMT,Payment/Credit,,2850.75
2025-09-10,2025-09-10,4430,MICROSOFT#G112937357,Merchandise,6.24,
2025-09-09,2025-09-10,4430,Microsoft-G112246279,Merchandise,29.97,
2025-09-07,2025-09-08,4430,Ingram MIcro RBTS,Merchandise,17.46,
2025-09-07,2025-09-08,4430,MOTHER'S TAVERN,Dining,47.00,
2025-09-06,2025-09-08,4430,TACO SURF SURFSIDE,Dining,60.72,
2025-09-06,2025-09-08,4430,Ingram MIcro RBTS,Merchandise,17.01,
2025-09-05,2025-09-06,4430,Ingram MIcro RBTS,Merchandise,61.08,
2025-09-04,2025-09-05,4430,Ingram MIcro RBTS,Merchandise,34.16,
2025-09-02,2025-09-04,4430,SHELL OIL 10007818007,Gas/Automotive,11.78,
2025-09-02,2025-09-03,0659,EB *INTRO TO VIBE CODI,Other Services,33.85,
2025-09-03,2025-09-03,4430,Peacock 86A9D Premium,Phone/Cable,10.99,
2025-09-02,2025-09-02,4430,ANTHEM BLUE INDIVIDUAL,Insurance,24.00,
2025-09-01,2025-09-02,4430,MERPAGO*RADASPLACE,Dining,76.46,
2025-09-01,2025-09-02,4430,HAPPY HOUR,Dining,64.31,
2025-09-01,2025-09-02,4430,PAYPAL *PATREON MEMBERSH,Internet,1.00,
2025-08-31,2025-09-01,4416,EL PESCADOR,Dining,29.01,
2025-08-31,2025-09-01,4430,BLUE SHIELD CALIFORNIA,Insurance,13.39,
2025-08-31,2025-09-01,4430,BLUE SHIELD CALIFORNIA,Insurance,42.52,
2025-08-30,2025-09-01,4416,MERPAGO*RADASPLACE,Dining,47.38,
2025-08-29,2025-09-01,4416,PALENQUE RESTAURANT,Dining,40.02,
2025-08-29,2025-09-01,4430,ARCO #42778,Gas/Automotive,58.79,
2025-08-29,2025-09-01,4430,7-ELEVEN 13568,Gas/Automotive,9.56,
2025-08-30,2025-08-30,4430,GOOGLE *Google One,Internet,9.99,
2025-08-29,2025-08-30,4430,SUPER CALIMAX PTO NVO,Merchandise,16.61,
2025-08-29,2025-08-30,4430,HAPPY HOUR,Dining,37.11,
2025-08-29,2025-08-30,4430,Ingram MIcro RBTS,Merchandise,81.77,
2025-08-29,2025-08-30,4430,X CORP. PAID FEATURES,Internet,8.00,
2025-08-28,2025-08-29,4416,QUIK LUBE AND OIL,Gas/Automotive,59.70,
2025-08-27,2025-08-28,4430,TST*SUPER MEX - SUNSET B,Dining,55.71,
2025-08-26,2025-08-26,4430,CASH AUTO REDEMPTION,Payment/Credit,,25.00
2025-08-25,2025-08-26,4430,Ingram MIcro RBTS,Merchandise,37.27,
2025-08-24,2025-08-25,0659,BCD-GARDEN GROVE,Dining,105.12,
2025-08-23,2025-08-25,4430,AMAZON PRIME*XK1EH9V73,Entertainment,2.99,
2025-08-23,2025-08-25,4430,AMAZON MKTPL*7C5SS4HF3,Merchandise,50.63,
2025-08-22,2025-08-23,4430,Ingram MIcro RBTS,Merchandise,15.27,
2025-08-22,2025-08-23,4430,AMAZON MKTPL*L75619D13,Merchandise,32.00,
2025-08-21,2025-08-23,4430,TST*THE CRAB POT -LONG B,Dining,76.66,
2025-08-21,2025-08-22,4430,"GITHUB, INC.",Internet,39.00,
2025-08-21,2025-08-22,4430,"GITHUB, INC.",Internet,16.62,
2025-08-20,2025-08-21,4430,Ingram MIcro RBTS,Merchandise,4.36,
2025-08-20,2025-08-21,4430,XAI LLC,Merchandise,30.00,
2025-08-20,2025-08-21,4430,CLAUDE.AI SUBSCRIPTION,Merchandise,128.72,
2025-08-20,2025-08-21,4430,OPENAI *CHATGPT SUBSCR,Merchandise,20.00,
2025-08-20,2025-08-21,4430,AMAZON MKTPL*UL6D75JI3,Merchandise,10.76,
2025-08-15,2025-08-18,4416,CAPTAIN JACK'S,Dining,59.50,
2025-08-16,2025-08-18,4430,MERMAID CHART INC,Merchandise,80.00,
2025-08-16,2025-08-16,4430,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,53.31,
2025-08-13,2025-08-14,4430,"GITHUB, INC.",Internet,7.48,
2025-08-13,2025-08-14,4430,AMAZON MKTPL*TP83255F3,Merchandise,16.15,
2025-08-11,2025-08-12,4430,Ingram MIcro RBTS,Merchandise,4.12,
2025-08-11,2025-08-12,4430,CLAUDE.AI SUBSCRIPTION,Merchandise,90.11,
2025-08-10,2025-08-11,4430,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1000.00
2025-08-10,2025-08-11,4430,MOTHER'S TAVERN,Dining,24.00,
2025-08-10,2025-08-11,4430,MICROSOFT#G107035949,Merchandise,6.24,
2025-08-09,2025-08-09,4430,MICROSOFT#G105768871,Merchandise,30.01,
2025-08-07,2025-08-09,4430,CHICKEN CHARLIE'S 17,Dining,16.98,
2025-08-08,2025-08-09,4430,Orange County Fair,Dining,33.63,
2025-08-08,2025-08-09,4430,Orange County Fair,Dining,16.67,
2025-08-08,2025-08-09,4430,Orange County Fair,Dining,37.95,
2025-08-08,2025-08-09,4430,Orange County Fair,Dining,15.52,
2025-08-08,2025-08-09,4430,Orange County Fair,Dining,36.22,
2025-08-07,2025-08-08,4430,C AND C FAIR/EVENT T10,Dining,9.97,
2025-08-07,2025-08-08,4430,BACKYARD BBQ VILLAGE #8,Dining,9.61,
2025-08-07,2025-08-08,4430,Ingram MIcro RBTS,Merchandise,17.46,
2025-08-06,2025-08-07,4430,Ingram MIcro RBTS,Merchandise,17.01,
2025-08-06,2025-08-07,4430,LOY*MEMORIALCARE008,Health Care,60.00,
2025-08-05,2025-08-06,4430,Ingram MIcro RBTS,Merchandise,61.08,
2025-08-05,2025-08-05,4430,CASH AUTO REDEMPTION,Payment/Credit,,25.00
2025-08-04,2025-08-05,4430,Ingram MIcro RBTS,Merchandise,34.16,
2025-08-03,2025-08-04,4430,Ingram MIcro RBTS,Merchandise,221.76,
2025-08-01,2025-08-04,4430,OLA MEXICAN KITCHEN,Dining,116.29,
2025-08-02,2025-08-04,4430,TST*BURRITO BROTHERS - M,Dining,35.54,
2025-08-03,2025-08-04,4430,AMAZON MKTPL*219GO7JW3,Merchandise,26.91,
2025-08-03,2025-08-04,4430,Peacock CA2D7 Premium,Phone/Cable,7.99,
2025-08-02,2025-08-04,4430,TST* KAI - HUNTINGTON BEA,Dining,91.67,
2025-08-01,2025-08-02,4430,PAYPAL *PATREON MEMBERSH,Internet,1.00,
2025-08-01,2025-08-02,4430,ANTHEM BLUE INDIVIDUAL,Insurance,24.00,
2025-07-31,2025-08-01,4430,BLUE SHIELD CALIFORNIA,Insurance,13.39,
2025-07-31,2025-08-01,4430,BLUE SHIELD CALIFORNIA,Insurance,42.52,
2025-07-30,2025-07-30,4430,GOOGLE *Google One,Entertainment,9.99,
2025-07-29,2025-07-30,4430,Ingram MIcro RBTS,Merchandise,81.77,
2025-07-29,2025-07-30,4430,X CORP. PAID FEATURES,Internet,8.00,
2025-07-27,2025-07-29,4430,EDWARDS FOOD MART,Gas/Automotive,36.44,
2025-07-26,2025-07-28,4430,FOOTLOOSE SPORTS,Merchandise,100.00,
2025-07-27,2025-07-28,4430,Subway 6200,Dining,9.54,
2025-07-27,2025-07-28,4430,CLAUDE.AI SUBSCRIPTION,Merchandise,20.00,
2025-07-26,2025-07-28,4430,SQ *DISTANT BREWING,Dining,7.76,
2025-07-25,2025-07-28,4430,SIERRA STAR,Entertainment,153.38,
2025-07-25,2025-07-28,4430,CHIP SHOT CAFE,Dining,20.00,
2025-07-25,2025-07-26,4430,SQ *SIERRA STAR GOLF COUR,Dining,10.80,
2025-07-25,2025-07-26,4430,SQ *SIERRA STAR GOLF COUR,Dining,51.00,
2025-07-25,2025-07-26,4430,Ingram MIcro RBTS,Merchandise,37.27,
2025-07-25,2025-07-26,4430,SQ *SIERRA STAR GOLF COUR,Dining,9.00,
2025-07-25,2025-07-26,4430,SQ *MAMMOTH BREWING COMPA,Dining,30.15,
2025-07-24,2025-07-26,4430,CARLS JR 1100176,Dining,11.67,
2025-07-25,2025-07-26,4430,SQ *THE EATERY @ MAMMOTH,Professional Services,21.13,
2025-07-25,2025-07-26,4430,SQ *MAMMOTH BREWING COMPA,Dining,9.94,
2025-07-23,2025-07-24,4430,AMAZON PRIME*4K30186M3,Entertainment,2.99,
2025-07-22,2025-07-22,4430,CASH AUTO REDEMPTION,Payment/Credit,,25.00
2025-07-21,2025-07-22,4430,"GITHUB, INC.",Internet,10.00,
2025-07-21,2025-07-22,4430,"GITHUB, INC.",Internet,26.14,
2025-07-21,2025-07-21,4430,ANTHROPIC,Merchandise,5.00,
2025-07-20,2025-07-21,4430,Ingram MIcro RBTS,Merchandise,4.36,
2025-07-20,2025-07-21,4430,XAI LLC,Merchandise,30.00,
2025-07-20,2025-07-21,4430,OPENAI *CHATGPT SUBSCR,Merchandise,20.00,
2025-07-18,2025-07-21,4430,MWR GOLF COURS11990330,Entertainment,168.00,
2025-07-18,2025-07-19,4430,FIVERR *,Other Services,,5.00
2025-07-18,2025-07-19,4430,FIVERR *,Other Services,,5.00
2025-07-16,2025-07-18,4430,TST*THE HANGOUT - SEAL B,Dining,29.96,
2025-07-17,2025-07-18,4430,TST* CLANCY'S,Dining,19.00,
2025-07-16,2025-07-17,4430,Ingram MIcro RBTS,Merchandise,15.27,
2025-07-15,2025-07-16,4430,Amazon.com*N71FP8V03,Merchandise,56.06,
2025-07-15,2025-07-16,4430,"GITHUB, INC.",Internet,2.00,
2025-07-14,2025-07-16,4430,CARNITAS LA FLOR,Dining,32.56,
2025-07-13,2025-07-14,4430,MERPAGO*RADASPLACE,Dining,17.92,
2025-07-13,2025-07-14,4430,REST SPLASH,Dining,73.19,
2025-07-13,2025-07-14,4430,REST SPLASH,Dining,69.91,
2025-07-12,2025-07-14,4430,ARCO #42778,Gas/Automotive,53.34,
2025-07-12,2025-07-14,4430,7 ELEVEN ROSARITO Y CA,Merchandise,13.45,
2025-07-12,2025-07-14,4430,HOTEL Y RES EN PUNTA M,Lodging,72.26,
2025-07-11,2025-07-14,4430,PAYPAL *NAMECHEAP,Internet,30.73,
2025-07-11,2025-07-14,4430,SQ *ANGELS STADIUM OSSI P,Gas/Automotive,100.00,
2025-07-11,2025-07-12,4430,Ingram MIcro RBTS,Merchandise,68.63,
2025-07-11,2025-07-12,4430,Ingram MIcro RBTS,Merchandise,4.11,
2025-07-10,2025-07-11,4430,TST* BHD-HUNTINGTON,Dining,17.51,
2025-07-10,2025-07-10,4430,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1000.00
2025-07-10,2025-07-10,4430,MICROSOFT#G101774862,Merchandise,6.24,
2025-07-08,2025-07-09,4430,MICROSOFT#G100516791,Merchandise,30.19,
2025-07-08,2025-07-08,4430,CAPITAL ONE ONLINE PYMT,Payment/Credit,,1291.77
2025-07-07,2025-07-08,4430,MOTHER'S TAVERN,Dining,92.00,
2025-07-04,2025-07-07,4430,TST*SEA LEGS AT THE BEAC,Dining,58.87,
2025-07-03,2025-07-05,4430,GLF*STRAWBERRYFARMS,Entertainment,25.00,
2025-07-03,2025-07-05,4430,GLF*STRAWBERRYFARMS,Entertainment,41.00,
2025-07-03,2025-07-03,4430,CASH AUTO REDEMPTION,Payment/Credit,,25.00
2025-07-03,2025-07-03,4430,Peacock BB533 Premium,Phone/Cable,7.99,
2025-07-01,2025-07-03,4430,COSTCO *ANNUAL RENEWAL,Merchandise,130.00,
2025-07-01,2025-07-02,4430,PAYPAL *PATREON MEMBERSH,Internet,1.00,
2025-07-02,2025-07-02,4430,MICROSOFT#G099464086,Merchandise,895.20,
2025-07-01,2025-07-02,4430,ANTHEM BLUE INDIVIDUAL,Insurance,24.00,
